px,py,rho_p
4,2,1.0831504717e-04
4,3,1.0755557925e-04
4,4,1.0642872642e-04
4,5,1.0482457196e-04
4,6,1.0258930877e-04
4,7,9.9511969633e-05
4,8,9.5305923895e-05
4,9,8.9583460814e-05
4,10,8.1821409649e-05
4,11,7.1315641708e-05
4,12,5.7123034509e-05
4,13,3.7992344759e-05
4,14,1.2293132420e-05
4,15,-2.2030459050e-05
4,16,-6.7418225083e-05
4,17,-1.2643796806e-04
4,18,-2.0109976055e-04
4,19,-2.9147064192e-04
4,20,-3.9349367785e-04
4,21,-4.9665925517e-04
4,22,-5.8355582820e-04
4,23,-6.3403023051e-04
4,24,-6.3403023051e-04
4,25,-5.8355582820e-04
4,26,-4.9665925517e-04
4,27,-3.9349367785e-04
4,28,-2.9147064192e-04
4,29,-2.0109976055e-04
4,30,-1.2643796806e-04
4,31,-6.7418225083e-05
4,32,-2.2030459050e-05
4,33,1.2293132420e-05
4,34,3.7992344759e-05
4,35,5.7123034509e-05
4,36,7.1315641708e-05
4,37,8.1821409649e-05
4,38,8.9583460814e-05
4,39,9.5305923895e-05
4,40,9.9511969633e-05
4,41,1.0258930877e-04
4,42,1.0482457196e-04
4,43,1.0642872642e-04
4,44,1.0755557925e-04
4,45,1.0831504717e-04
4,46,1.0878246900e-04
4,47,1.0900488092e-04
5,0,1.0753574279e-04
5,1,1.0730054309e-04
5,2,1.0680708518e-04
5,3,1.0600737934e-04
5,4,1.0482457196e-04
5,5,1.0314655882e-04
5,6,1.0081650594e-04
5,7,9.7619339581e-05
5,8,9.3262902289e-05
5,9,8.7352057502e-05
5,10,7.9353641480e-05
5,11,6.8550042517e-05
5,12,5.3979915504e-05
5,13,3.4367428075e-05
5,14,8.0492329933e-06
5,15,-2.7073672257e-05
5,16,-7.3495256800e-05
5,17,-1.3384549968e-04
5,18,-2.1019236438e-04
5,19,-3.0262629328e-04
5,20,-4.0702361224e-04
5,21,-5.1264642983e-04
5,22,-6.0165924078e-04
5,23,-6.5338275295e-04
5,24,-6.5338275295e-04
5,25,-6.0165924078e-04
5,26,-5.1264642983e-04
5,27,-4.0702361224e-04
5,28,-3.0262629328e-04
5,29,-2.1019236438e-04
5,30,-1.3384549968e-04
5,31,-7.3495256800e-05
5,32,-2.7073672257e-05
5,33,8.0492329933e-06
5,34,3.4367428075e-05
5,35,5.3979915504e-05
5,36,6.8550042517e-05
5,37,7.9353641480e-05
5,38,8.7352057502e-05
5,39,9.3262902289e-05
5,40,9.7619339581e-05
5,41,1.0081650594e-04
5,42,1.0314655882e-04
5,43,1.0482457196e-04
5,44,1.0600737934e-04
5,45,1.0680708518e-04
5,46,1.0730054309e-04
5,47,1.0753574279e-04
6,0,1.0547421971e-04
6,1,1.0522253675e-04
6,2,1.0469553747e-04
6,3,1.0384404240e-04
6,4,1.0258930877e-04
6,5,1.0081650594e-04
6,6,9.8365030011e-05
6,7,9.5014696395e-05
6,8,9.0466473822e-05
6,9,8.4315995261e-05
6,10,7.6017679981e-05
6,11,6.4837164247e-05
6,12,4.9790456238e-05
6,13,2.9571143324e-05
6,14,2.4749021453e-06
6,15,-3.3651098874e-05
6,16,-8.1368608711e-05
6,17,-1.4338573736e-04
6,18,-2.2184378120e-04
6,19,-3.1686401863e-04
6,20,-4.2424101365e-04
6,21,-5.3295171254e-04
6,22,-6.2462732808e-04
6,23,-6.7792404744e-04
6,24,-6.7792404744e-04
6,25,-6.2462732808e-04
6,26,-5.3295171254e-04
6,27,-4.2424101365e-04
6,28,-3.1686401863e-04
6,29,-2.2184378120e-04
6,30,-1.4338573736e-04
6,31,-8.1368608711e-05
6,32,-3.3651098874e-05
6,33,2.4749021453e-06
6,34,2.9571143324e-05
6,35,4.9790456238e-05
6,36,6.4837164247e-05
6,37,7.6017679981e-05
6,38,8.4315995261e-05
6,39,9.0466473822e-05
6,40,9.5014696395e-05
6,41,9.8365030011e-05
6,42,1.0081650594e-04
6,43,1.0258930877e-04
6,44,1.0384404240e-04
6,45,1.0469553747e-04
6,46,1.0522253675e-04
6,47,1.0547421971e-04
7,0,1.0261717168e-04
7,1,1.0234454926e-04
7,2,1.0177496763e-04
7,3,1.0085779188e-04
7,4,9.9511969633e-05
7,5,9.7619339581e-05
7,6,9.5014696395e-05
7,7,9.1471622926e-05
7,8,8.6682712568e-05
7,9,8.0232359367e-05
7,10,7.1559870837e-05
7,11,5.9910498381e-05
7,12,4.4272684138e-05
7,13,2.3302761394e-05
7,14,-4.7535869285e-06
7,15,-4.2115021126e-05
7,16,-9.1426466613e-05
7,17,-1.5549241828e-04
7,18,-2.3654551976e-04
7,19,-3.3474723998e-04
7,20,-4.4579445725e-04
7,21,-5.5831489236e-04
7,22,-6.5328104694e-04
7,23,-7.0852411478e-04
7,24,-7.0852411478e-04
7,25,-6.5328104694e-04
7,26,-5.5831489236e-04
7,27,-4.4579445725e-04
7,28,-3.3474723998e-04
7,29,-2.3654551976e-04
7,30,-1.5549241828e-04
7,31,-9.1426466613e-05
7,32,-4.2115021126e-05
7,33,-4.7535869285e-06
7,34,2.3302761394e-05
7,35,4.4272684138e-05
7,36,5.9910498381e-05
7,37,7.1559870837e-05
7,38,8.0232359367e-05
7,39,8.6682712568e-05
7,40,9.1471622926e-05
7,41,9.5014696395e-05
7,42,9.7619339581e-05
7,43,9.9511969633e-05
7,44,1.0085779188e-04
7,45,1.0177496763e-04
7,46,1.0234454926e-04
7,47,1.0261717168e-04
8,0,9.8688511564e-05
8,1,9.8389468307e-05
8,2,9.7766193959e-05
8,3,9.6766293617e-05
8,4,9.5305923895e-05
8,5,9.3262902289e-05
8,6,9.0466473822e-05
8,7,8.6682712568e-05
8,8,8.1594131898e-05
8,9,7.4771611019e-05
8,10,6.5636296087e-05
8,11,5.3408944560e-05
8,12,3.7044865140e-05
8,13,1.5155569482e-05
8,14,-1.4073515095e-05
8,15,-5.2940609926e-05
8,16,-1.0419158224e-04
8,17,-1.7074863263e-04
8,18,-2.5495724139e-04
8,19,-3.5703110305e-04
8,20,-4.7255247207e-04
8,21,-5.8972636633e-04
8,22,-6.8871959783e-04
8,23,-7.4634805519e-04
8,24,-7.4634805519e-04
8,25,-6.8871959783e-04
8,26,-5.8972636633e-04
8,27,-4.7255247207e-04
8,28,-3.5703110305e-04
8,29,-2.5495724139e-04
8,30,-1.7074863263e-04
8,31,-1.0419158224e-04
8,32,-5.2940609926e-05
8,33,-1.4073515095e-05
8,34,1.5155569482e-05
8,35,3.7044865140e-05
8,36,5.3408944560e-05
8,37,6.5636296087e-05
8,38,7.4771611019e-05
8,39,8.1594131898e-05
8,40,8.6682712568e-05
8,41,9.0466473822e-05
8,42,9.3262902289e-05
8,43,9.5305923895e-05
8,44,9.6766293617e-05
8,45,9.7766193959e-05
8,46,9.8389468307e-05
8,47,9.8688511564e-05
9,0,9.3314704982e-05
9,1,9.2982380509e-05
9,2,9.2291519935e-05
9,3,9.1187612179e-05
9,4,8.9583460814e-05
9,5,8.7352057502e-05
9,6,8.4315995261e-05
9,7,8.0232359367e-05
9,8,7.4771611019e-05
9,9,6.7488487106e-05
9,10,5.7782457136e-05
9,11,4.4845051224e-05
9,12,2.7592028130e-05
9,13,4.5813387973e-06
9,14,-2.6073741007e-05
9,15,-6.6767009379e-05
9,16,-1.2036618032e-04
9,17,-1.8993658140e-04
9,18,-2.7796273168e-04
9,19,-3.8472634929e-04
9,20,-5.0567706142e-04
9,21,-6.2851137349e-04
9,22,-7.3241452130e-04
9,23,-7.9295627025e-04
9,24,-7.9295627025e-04
9,25,-7.3241452130e-04
9,26,-6.2851137349e-04
9,27,-5.0567706142e-04
9,28,-3.8472634929e-04
9,29,-2.7796273168e-04
9,30,-1.8993658140e-04
9,31,-1.2036618032e-04
9,32,-6.6767009379e-05
9,33,-2.6073741007e-05
9,34,4.5813387973e-06
9,35,2.7592028130e-05
9,36,4.4845051224e-05
9,37,5.7782457136e-05
9,38,6.7488487106e-05
9,39,7.4771611019e-05
9,40,8.0232359367e-05
9,41,8.4315995261e-05
9,42,8.7352057502e-05
9,43,8.9583460814e-05
9,44,9.1187612179e-05
9,45,9.2291519935e-05
9,46,9.2982380509e-05
9,47,9.3314704982e-05
10,0,8.5991667097e-05
10,1,8.5617343977e-05
10,2,8.4841255985e-05
10,3,8.3606350887e-05
10,4,8.1821409649e-05
10,5,7.9353641480e-05
10,6,7.6017679981e-05
10,7,7.1559870837e-05
10,8,6.5636296087e-05
10,9,5.7782457136e-05
10,10,4.7372015585e-05
10,11,3.3561715952e-05
10,12,1.5220229309e-05
10,13,-9.1583408567e-06
10,14,-4.1546928698e-05
10,15,-8.4453957359e-05
10,16,-1.4089408711e-04
10,17,-2.1410672310e-04
