px,py,rho_p
19,44,-2.8298006508e-04
19,45,-2.7685206654e-04
19,46,-2.7287650933e-04
19,47,-2.7092079958e-04
20,0,-3.6846795157e-04
20,1,-3.7085577515e-04
20,2,-3.7570559466e-04
20,3,-3.8317066747e-04
20,4,-3.9349367785e-04
20,5,-4.0702361224e-04
20,6,-4.2424101365e-04
20,7,-4.4579445725e-04
20,8,-4.7255247207e-04
20,9,-5.0567706142e-04
20,10,-5.4672760368e-04
20,11,-5.9780727892e-04
20,12,-6.6176781366e-04
20,13,-7.4249034681e-04
20,14,-8.4525470630e-04
20,15,-9.7718052361e-04
20,16,-1.1476327359e-03
20,17,-1.3682469537e-03
20,18,-1.6516995208e-03
20,19,-2.0074008335e-03
20,20,-2.4313765396e-03
20,21,-2.8892496429e-03
20,22,-3.3008808756e-03
20,23,-3.5519202576e-03
20,24,-3.5519202576e-03
20,25,-3.3008808756e-03
20,26,-2.8892496429e-03
20,27,-2.4313765396e-03
20,28,-2.0074008335e-03
20,29,-1.6516995208e-03
20,30,-1.3682469537e-03
20,31,-1.1476327359e-03
20,32,-9.7718052361e-04
20,33,-8.4525470630e-04
20,34,-7.4249034681e-04
20,35,-6.6176781366e-04
20,36,-5.9780727892e-04
20,37,-5.4672760368e-04
20,38,-5.0567706142e-04
20,39,-4.7255247207e-04
20,40,-4.4579445725e-04
20,41,-4.2424101365e-04
20,42,-4.0702361224e-04
20,43,-3.9349367785e-04
20,44,-3.8317066747e-04
20,45,-3.7570559466e-04
20,46,-3.7085577515e-04
20,47,-3.6846795157e-04
21,0,-4.6700916893e-04
21,1,-4.6984298853e-04
21,2,-4.7559545290e-04
21,3,-4.8444177276e-04
21,4,-4.9665925517e-04
21,5,-5.1264642983e-04
21,6,-5.3295171254e-04
21,7,-5.5831489236e-04
21,8,-5.8972636633e-04
21,9,-6.2851137349e-04
21,10,-6.7644974285e-04
21,11,-7.3594604232e-04
21,12,-8.1027024097e-04
21,13,-9.0389335673e-04
21,14,-1.0229401035e-03
21,15,-1.1757541049e-03
21,16,-1.3734762819e-03
21,17,-1.6302699893e-03
21,18,-1.9621870205e-03
21,19,-2.3824256185e-03
21,20,-2.8892496429e-03
21,21,-3.4441625553e-03
21,22,-3.9498578200e-03
21,23,-4.2614449980e-03
21,24,-4.2614449980e-03
21,25,-3.9498578200e-03
21,26,-3.4441625553e-03
21,27,-2.8892496429e-03
21,28,-2.3824256185e-03
21,29,-1.9621870205e-03
21,30,-1.6302699893e-03
21,31,-1.3734762819e-03
21,32,-1.1757541049e-03
21,33,-1.0229401035e-03
21,34,-9.0389335673e-04
21,35,-8.1027024097e-04
21,36,-7.3594604232e-04
21,37,-6.7644974285e-04
21,38,-6.2851137349e-04
21,39,-5.8972636633e-04
21,40,-5.5831489236e-04
21,41,-5.3295171254e-04
21,42,-5.1264642983e-04
21,43,-4.9665925517e-04
21,44,-4.8444177276e-04
21,45,-4.7559545290e-04
21,46,-4.6984298853e-04
21,47,-4.6700916893e-04
22,0,-5.4992974788e-04
22,1,-5.5314665380e-04
22,2,-5.5967468838e-04
22,3,-5.6970844307e-04
22,4,-5.8355582820e-04
22,5,-6.0165924078e-04
22,6,-6.2462732808e-04
22,7,-6.5328104694e-04
22,8,-6.8871959783e-04
22,9,-7.3241452130e-04
22,10,-7.8634412045e-04
22,11,-8.5318573554e-04
22,12,-9.3659020949e-04
22,13,-1.0415696979e-03
22,14,-1.1750309651e-03
22,15,-1.3464634243e-03
22,16,-1.5686950807e-03
22,17,-1.8583391085e-03
22,18,-2.2348166495e-03
22,19,-2.7153074985e-03
22,20,-3.3008808756e-03
22,21,-3.9498578200e-03
22,22,-4.5484490840e-03
22,23,-4.9206622752e-03
22,24,-4.9206622752e-03
22,25,-4.5484490840e-03
22,26,-3.9498578200e-03
22,27,-3.3008808756e-03
22,28,-2.7153074985e-03
22,29,-2.2348166495e-03
22,30,-1.8583391085e-03
22,31,-1.5686950807e-03
22,32,-1.3464634243e-03
22,33,-1.1750309651e-03
22,34,-1.0415696979e-03
22,35,-9.3659020949e-04
22,36,-8.5318573554e-04
22,37,-7.8634412045e-04
22,38,-7.3241452130e-04
22,39,-6.8871959783e-04
22,40,-6.5328104694e-04
22,41,-6.2462732808e-04
22,42,-6.0165924078e-04
22,43,-5.8355582820e-04
22,44,-5.6970844307e-04
22,45,-5.5967468838e-04
22,46,-5.5314665380e-04
22,47,-5.4992974788e-04
23,0,-5.9806016838e-04
23,1,-6.0150275394e-04
23,2,-6.0848779034e-04
23,3,-6.1922151198e-04
23,4,-6.3403023051e-04
23,5,-6.5338275295e-04
23,6,-6.7792404744e-04
23,7,-7.0852411478e-04
23,8,-7.4634805519e-04
23,9,-7.9295627025e-04
23,10,-8.5044800816e-04
23,11,-9.2166746412e-04
23,12,-1.0104995027e-03
23,13,-1.1222905362e-03
23,14,-1.2644335047e-03
23,15,-1.4471358434e-03
23,16,-1.6842937707e-03
23,17,-1.9940934213e-03
23,18,-2.3981634499e-03
23,19,-2.9163826260e-03
23,20,-3.5519202576e-03
23,21,-4.2614449980e-03
23,22,-4.9206622752e-03
23,23,-5.3328482002e-03
23,24,-5.3328482002e-03
23,25,-4.9206622752e-03
23,26,-4.2614449980e-03
23,27,-3.5519202576e-03
23,28,-2.9163826260e-03
23,29,-2.3981634499e-03
23,30,-1.9940934213e-03
23,31,-1.6842937707e-03
23,32,-1.4471358434e-03
23,33,-1.2644335047e-03
23,34,-1.1222905362e-03
23,35,-1.0104995027e-03
23,36,-9.2166746412e-04
23,37,-8.5044800816e-04
23,38,-7.9295627025e-04
23,39,-7.4634805519e-04
23,40,-7.0852411478e-04
23,41,-6.7792404744e-04
23,42,-6.5338275295e-04
23,43,-6.3403023051e-04
23,44,-6.1922151198e-04
23,45,-6.0848779034e-04
23,46,-6.0150275394e-04
23,47,-5.9806016838e-04
24,0,-5.9806016838e-04
24,1,-6.0150275394e-04
24,2,-6.0848779034e-04
24,3,-6.1922151198e-04
24,4,-6.3403023051e-04
24,5,-6.5338275295e-04
24,6,-6.7792404744e-04
24,7,-7.0852411478e-04
24,8,-7.4634805519e-04
24,9,-7.9295627025e-04
24,10,-8.5044800816e-04
24,11,-9.2166746412e-04
24,12,-1.0104995027e-03
24,13,-1.1222905362e-03
24,14,-1.2644335047e-03
24,15,-1.4471358434e-03
24,16,-1.6842937707e-03
24,17,-1.9940934213e-03
24,18,-2.3981634499e-03
24,19,-2.9163826260e-03
24,20,-3.5519202576e-03
24,21,-4.2614449980e-03
24,22,-4.9206622752e-03
24,23,-5.3328482002e-03
24,24,-5.3328482002e-03
24,25,-4.9206622752e-03
24,26,-4.2614449980e-03
24,27,-3.5519202576e-03
24,28,-2.9163826260e-03
24,29,-2.3981634499e-03
24,30,-1.9940934213e-03
24,31,-1.6842937707e-03
24,32,-1.4471358434e-03
24,33,-1.2644335047e-03
24,34,-1.1222905362e-03
24,35,-1.0104995027e-03
24,36,-9.2166746412e-04
24,37,-8.5044800816e-04
24,38,-7.9295627025e-04
24,39,-7.4634805519e-04
24,40,-7.0852411478e-04
24,41,-6.7792404744e-04
24,42,-6.5338275295e-04
24,43,-6.3403023051e-04
24,44,-6.1922151198e-04
24,45,-6.0848779034e-04
24,46,-6.0150275394e-04
24,47,-5.9806016838e-04
25,0,-5.4992974788e-04
25,1,-5.5314665380e-04
25,2,-5.5967468838e-04
25,3,-5.6970844307e-04
25,4,-5.8355582820e-04
25,5,-6.0165924078e-04
25,6,-6.2462732808e-04
25,7,-6.5328104694e-04
25,8,-6.8871959783e-04
25,9,-7.3241452130e-04
25,10,-7.8634412045e-04
25,11,-8.5318573554e-04
25,12,-9.3659020949e-04
25,13,-1.0415696979e-03
25,14,-1.1750309651e-03
25,15,-1.3464634243e-03
25,16,-1.5686950807e-03
25,17,-1.8583391085e-03
25,18,-2.2348166495e-03
25,19,-2.7153074985e-03
25,20,-3.3008808756e-03
25,21,-3.9498578200e-03
25,22,-4.5484490840e-03
25,23,-4.9206622752e-03
25,24,-4.9206622752e-03
25,25,-4.5484490840e-03
25,26,-3.9498578200e-03
25,27,-3.3008808756e-03
25,28,-2.7153074985e-03
25,29,-2.2348166495e-03
25,30,-1.8583391085e-03
25,31,-1.5686950807e-03
25,32,-1.3464634243e-03
25,33,-1.1750309651e-03
25,34,-1.0415696979e-03
25,35,-9.3659020949e-04
25,36,-8.5318573554e-04
25,37,-7.8634412045e-04
25,38,-7.3241452130e-04
25,39,-6.8871959783e-04
25,40,-6.5328104694e-04
25,41,-6.2462732808e-04
25,42,-6.0165924078e-04
25,43,-5.8355582820e-04
25,44,-5.6970844307e-04
25,45,-5.5967468838e-04
25,46,-5.5314665380e-04
25,47,-5.4992974788e-04
26,0,-4.6700916893e-04
26,1,-4.6984298853e-04
26,2,-4.7559545290e-04
26,3,-4.8444177276e-04
26,4,-4.9665925517e-04
26,5,-5.1264642983e-04
26,6,-5.3295171254e-04
26,7,-5.5831489236e-04
26,8,-5.8972636633e-04
26,9,-6.2851137349e-04
26,10,-6.7644974285e-04
26,11,-7.3594604232e-04
26,12,-8.1027024097e-04
26,13,-9.0389335673e-04
26,14,-1.0229401035e-03
26,15,-1.1757541049e-03
26,16,-1.3734762819e-03
26,17,-1.6302699893e-03
26,18,-1.9621870205e-03
26,19,-2.3824256185e-03
26,20,-2.8892496429e-03
26,21,-3.4441625553e-03
26,22,-3.9498578200e-03
26,23,-4.2614449980e-03
26,24,-4.2614449980e-03
26,25,-3.9498578200e-03
26,26,-3.4441625553e-03
26,27,-2.8892496429e-03
26,28,-2.3824256185e-03
26,29,-1.9621870205e-03
26,30,-1.6302699893e-03
26,31,-1.3734762819e-03
26,32,-1.1757541049e-03
26,33,-1.0229401035e-03
26,34,-9.0389335673e-04
26,35,-8.1027024097e-04
26,36,-7.3594604232e-04
26,37,-6.7644974285e-04
26,38,-6.2851137349e-04
26,39,-5.8972636633e-04
26,40,-5.5831489236e-04
26,41,-5.3295171254e-04
26,42,-5.1264642983e-04
26,43,-4.9665925517e-04
26,44,-4.8444177276e-04
26,45,-4.7559545290e-04
26,46,-4.6984298853e-04
26,47,-4.6700916893e-04
27,0,-3.6846795157e-04
27,1,-3.7085577515e-04
27,2,-3.7570559466e-04
27,3,-3.8317066747e-04
27,4,-3.9349367785e-04
27,5,-4.0702361224e-04
27,6,-4.2424101365e-04
27,7,-4.4579445725e-04
27,8,-4.7255247207e-04
27,9,-5.0567706142e-04
27,10,-5.4672760368e-04
27,11,-5.9780727892e-04
27,12,-6.6176781366e-04
27,13,-7.4249034681e-04
27,14,-8.4525470630e-04
27,15,-9.7718052361e-04
27,16,-1.1476327359e-03
27,17,-1.3682469537e-03
27,18,-1.6516995208e-03
27,19,-2.0074008335e-03
27,20,-2.4313765396e-03
27,21,-2.8892496429e-03
27,22,-3.3008808756e-03
27,23,-3.5519202576e-03
27,24,-3.5519202576e-03
27,25,-3.3008808756e-03
27,26,-2.8892496429e-03
27,27,-2.4313765396e-03
27,28,-2.0074008335e-03
27,29,-1.6516995208e-03
27,30,-1.3682469537e-03
27,31,-1.1476327359e-03
27,32,-9.7718052361e-04
27,33,-8.4525470630e-04
27,34,-7.4249034681e-04
27,35,-6.6176781366e-04
27,36,-5.9780727892e-04
27,37,-5.4672760368e-04
27,38,-5.0567706142e-04
27,39,-4.7255247207e-04
27,40,-4.4579445725e-04
27,41,-4.2424101365e-04
27,42,-4.0702361224e-04
27,43,-3.9349367785e-04
27,44,-3.8317066747e-04
27,45,-3.7570559466e-04
27,46,-3.7085577515e-04
27,47,-3.6846795157e-04
28,0,-2.7092079958e-04
28,1,-2.7287650933e-04
28,2,-2.7685206654e-04
28,3,-2.8298006508e-04
28,4,-2.9147064192e-04
28,5,-3.0262629328e-04
28,6,-3.1686401863e-04
28,7,-3.3474723998e-04
28,8,-3.5703110305e-04
28,9,-3.8472634929e-04
28,10,-4.1918903593e-04
28,11,-4.6224590242e-04
28,12,-5.1636754900e-04
28,13,-5.8490179594e-04
28,14,-6.7237198679e-04
28,15,-7.8481532712e-04
28,16,-9.3005173207e-04
28,17,-1.1175673547e-03
28,18,-1.3572653030e-03
28,19,-1.6556358499e-03
28,20,-2.0074008335e-03
28,21,-2.3824256185e-03
28,22,-2.7153074985e-03
28,23,-2.9163826260e-03
28,24,-2.9163826260e-03
28,25,-2.7153074985e-03
28,26,-2.3824256185e-03
28,27,-2.0074008335e-03
28,28,-1.6556358499e-03
28,29,-1.3572653030e-03
28,30,-1.1175673547e-03
28,31,-9.3005173207e-04
28,32,-7.8481532712e-04
28,33,-6.7237198679e-04
28,34,-5.8490179594e-04
28,35,-5.1636754900e-04
28,36,-4.6224590242e-04
28,37,-4.1918903593e-04
28,38,-3.8472634929e-04
28,39,-3.5703110305e-04
28,40,-3.3474723998e-04
28,41,-3.1686401863e-04
28,42,-3.0262629328e-04
28,43,-2.9147064192e-04
28,44,-2.8298006508e-04
28,45,-2.7685206654e-04
28,46,-2.7287650933e-04
28,47,-2.7092079958e-04
29,0,-1.8444445163e-04
29,1,-1.8602386470e-04
29,2,-1.8923829195e-04
29,3,-1.9420275924e-04
29,4,-2.0109976055e-04
29,5,-2.1019236438e-04
29,6,-2.2184378120e-04
29,7,-2.3654551976e-04
29,8,-2.5495724139e-04
29,9,-2.7796273168e-04
29,10,-3.0674807835e-04
29,11,-3.4291002649e-04
29,12,-3.8860391398e-04
29,13,-4.4673955314e-04
29,14,-5.2122461757e-04
29,15,-6.1722579146e-04
29,16,-7.4134031281e-04
29,17,-9.0139188986e-04
29,18,-1.1052138359e-03
29,19,-1.3572653030e-03
29,20,-1.6516995208e-03
29,21,-1.9621870205e-03
29,22,-2.2348166495e-03
29,23,-2.3981634499e-03
29,24,-2.3981634499e-03
29,25,-2.2348166495e-03
29,26,-1.9621870205e-03
29,27,-1.6516995208e-03
29,28,-1.3572653030e-03
29,29,-1.1052138359e-03
29,30,-9.0139188986e-04
29,31,-7.4134031281e-04
29,32,-6.1722579146e-04
29,33,-5.2122461757e-04
29,34,-4.4673955314e-04
29,35,-3.8860391398e-04
29,36,-3.4291002649e-04
29,37,-3.0674807835e-04
29,38,-2.7796273168e-04
29,39,-2.5495724139e-04
29,40,-2.3654551976e-04
29,41,-2.2184378120e-04
29,42,-2.1019236438e-04
29,43,-2.0109976055e-04
29,44,-1.9420275924e-04
29,45,-1.8923829195e-04
29,46,-1.8602386470e-04
29,47,-1.8444445163e-04
30,0,-1.1296615951e-04
30,1,-1.1423783449e-04
30,2,-1.1682989771e-04
30,3,-1.2084320515e-04
30,4,-1.2643796806e-04
30,5,-1.3384549968e-04
30,6,-1.4338573736e-04
30,7,-1.5549241828e-04
30,8,-1.7074863263e-04
30,9,-1.8993658140e-04
30,10,-2.1410672310e-04
30,11,-2.4467291079e-04
30,12,-2.8354089690e-04
30,13,-3.3327574480e-04
30,14,-3.9730429435e-04
30,15,-4.8012052622e-04
30,16,-5.8739075187e-04
30,17,-7.2570000264e-04
30,18,-9.0139188986e-04
30,19,-1.1175673547e-03
30,20,-1.3682469537e-03
30,21,-1.6302699893e-03
30,22,-1.8583391085e-03
30,23,-1.9940934213e-03
30,24,-1.9940934213e-03
30,25,-1.8583391085e-03
30,26,-1.6302699893e-03
30,27,-1.3682469537e-03
30,28,-1.1175673547e-03
30,29,-9.0139188986e-04
30,30,-7.2570000264e-04
30,31,-5.8739075187e-04
30,32,-4.8012052622e-04
30,33,-3.9730429435e-04
30,34,-3.3327574480e-04
30,35,-2.8354089690e-04
30,36,-2.4467291079e-04
30,37,-2.1410672310e-04
30,38,-1.8993658140e-04
30,39,-1.7074863263e-04
30,40,-1.5549241828e-04
30,41,-1.4338573736e-04
30,42,-1.3384549968e-04
30,43,-1.2643796806e-04
30,44,-1.2084320515e-04
30,45,-1.1682989771e-04
30,46,-1.1423783449e-04
30,47,-1.1296615951e-04
31,0,-5.6460141079e-05
31,1,-5.7488818092e-05
31,2,-5.9589449524e-05
31,3,-6.2851709114e-05
31,4,-6.7418225083e-05
31,5,-7.3495256800e-05
31,6,-8.1368608711e-05
31,7,-9.1426466613e-05
31,8,-1.0419158224e-04
31,9,-1.2036618032e-04
31,10,-1.4089408711e-04
31,11,-1.6704566016e-04
31,12,-2.0053142123e-04
31,13,-2.4364795231e-04
31,14,-2.9945001549e-04
31,15,-3.7191580405e-04
31,16,-4.6600729032e-04
31,17,-5.8739075187e-04
31,18,-7.4134031281e-04
31,19,-9.3005173207e-04
31,20,-1.1476327359e-03
31,21,-1.3734762819e-03
31,22,-1.5686950807e-03
31,23,-1.6842937707e-03
31,24,-1.6842937707e-03
31,25,-1.5686950807e-03
31,26,-1.3734762819e-03
31,27,-1.1476327359e-03
31,28,-9.3005173207e-04
31,29,-7.4134031281e-04
31,30,-5.8739075187e-04
31,31,-4.6600729032e-04
31,32,-3.7191580405e-04
31,33,-2.9945001549e-04
31,34,-2.4364795231e-04
31,35,-2.0053142123e-04
31,36,-1.6704566016e-04
31,37,-1.4089408711e-04
31,38,-1.2036618032e-04
31,39,-1.0419158224e-04
31,40,-9.1426466613e-05
31,41,-8.1368608711e-05
31,42,-7.3495256800e-05
31,43,-6.7418225083e-05
31,44,-6.2851709114e-05
31,45,-5.9589449524e-05
31,46,-5.7488818092e-05
31,47,-5.6460141079e-05
32,0,-1.3024116952e-05
32,1,-1.3864206977e-05
32,2,-1.5583389705e-05
32,3,-1.8262543018e-05
32,4,-2.2030459050e-05
32,5,-2.7073672257e-05
32,6,-3.3651098874e-05
32,7,-4.2115021126e-05
32,8,-5.2940609926e-05
32,9,-6.6767009379e-05
32,10,-8.4453957359e-05
32,11,-1.0715875208e-04
32,12,-1.3643838139e-04
32,13,-1.7437898040e-04
32,14,-2.2374519328e-04
32,15,-2.8811625356e-04
32,16,-3.7191580405e-04
32,17,-4.8012052622e-04
32,18,-6.1722579146e-04
32,19,-7.8481532712e-04
32,20,-9.7718052361e-04
32,21,-1.1757541049e-03
32,22,-1.3464634243e-03
32,23,-1.4471358434e-03
32,24,-1.4471358434e-03
32,25,-1.3464634243e-03
32,26,-1.1757541049e-03
32,27,-9.7718052361e-04
32,28,-7.8481532712e-04
32,29,-6.1722579146e-04
32,30,-4.8012052622e-04
32,31,-3.7191580405e-04
32,32,-2.8811625356e-04
32,33,-2.2374519328e-04
32,34,-1.7437898040e-04
32,35,-1.3643838139e-04
32,36,-1.0715875208e-04
32,37,-8.4453957359e-05
32,38,-6.6767009379e-05
32,39,-5.2940609926e-05
32,40,-4.2115021126e-05
32,41,-3.3651098874e-05
32,42,-2.7073672257e-05
32,43,-2.2030459050e-05
32,44,-1.8262543018e-05
32,45,-1.5583389705e-05
32,46,-1.3864206977e-05
32,47,-1.3024116952e-05
33,0,1.9792706601e-05
33,1,1.9098076865e-05
33,2,1.7673198392e-05
33,3,1.5444159037e-05
33,4,1.2293132420e-05
33,5,8.0492329933e-06
33,6,2.4749021453e-06
33,7,-4.7535869285e-06
33,8,-1.4073515095e-05
33,9,-2.6073741007e-05
33,10,-4.1546928698e-05
33,11,-6.1560199402e-05
33,12,-8.7548214181e-05
33,13,-1.2142985913e-04
33,14,-1.6574024309e-04
33,15,-2.2374519328e-04
33,16,-2.9945001549e-04
33,17,-3.9730429435e-04
33,18,-5.2122461757e-04
33,19,-6.7237198679e-04
33,20,-8.4525470630e-04
33,21,-1.0229401035e-03
33,22,-1.1750309651e-03
33,23,-1.2644335047e-03
33,24,-1.2644335047e-03
33,25,-1.1750309651e-03
33,26,-1.0229401035e-03
33,27,-8.4525470630e-04
33,28,-6.7237198679e-04
33,29,-5.2122461757e-04
33,30,-3.9730429435e-04
33,31,-2.9945001549e-04
33,32,-2.2374519328e-04
33,33,-1.6574024309e-04
33,34,-1.2142985913e-04
33,35,-8.7548214181e-05
33,36,-6.1560199402e-05
33,37,-4.1546928698e-05
33,38,-2.6073741007e-05
33,39,-1.4073515095e-05
33,40,-4.7535869285e-06
33,41,2.4749021453e-06
33,42,8.0492329933e-06
33,43,1.2293132420e-05
33,44,1.5444159037e-05
33,45,1.7673198392e-05
33,46,1.9098076865e-05
33,47,1.9792706601e-05
34,0,4.4327596048e-05
34,1,4.3745221470e-05
34,2,4.2547561162e-05
34,3,4.0666281001e-05
34,4,3.7992344759e-05
34,5,3.4367428075e-05
34,6,2.9571143324e-05
34,7,2.3302761394e-05
34,8,1.5155569482e-05
34,9,4.5813387973e-06
34,10,-9.1583408567e-06
34,11,-2.7057621162e-05
34,12,-5.0452242121e-05
34,13,-8.1126120179e-05
34,14,-1.2142985913e-04
34,15,-1.7437898040e-04
34,16,-2.4364795231e-04
34,17,-3.3327574480e-04
34,18,-4.4673955314e-04
34,19,-5.8490179594e-04
34,20,-7.4249034681e-04
34,21,-9.0389335673e-04
34,22,-1.0415696979e-03
34,23,-1.1222905362e-03
34,24,-1.1222905362e-03
34,25,-1.0415696979e-03
34,26,-9.0389335673e-04
34,27,-7.4249034681e-04
34,28,-5.8490179594e-04
34,29,-4.4673955314e-04
34,30,-3.3327574480e-04
34,31,-2.4364795231e-04
34,32,-1.7437898040e-04
34,33,-1.2142985913e-04
34,34,-8.1126120179e-05
34,35,-5.0452242121e-05
34,36,-2.7057621162e-05
34,37,-9.1583408567e-06
34,38,4.5813387973e-06
34,39,1.5155569482e-05
34,40,2.3302761394e-05
34,41,2.9571143324e-05
34,42,3.4367428075e-05
34,43,3.7992344759e-05
34,44,4.0666281001e-05
34,45,4.2547561162e-05
34,46,4.3745221470e-05
34,47,4.4327596048e-05
35,0,6.2554445185e-05
35,1,6.2059069709e-05
35,2,6.1037600431e-05
35,3,5.9426223569e-05
35,4,5.7123034509e-05
35,5,5.3979915504e-05
35,6,4.9790456238e-05
35,7,4.4272684138e-05
35,8,3.7044865140e-05
35,9,2.7592028130e-05
35,10,1.5220229309e-05
35,11,-1.0048427966e-06
35,12,-2.2337840895e-05
35,13,-5.0452242121e-05
35,14,-8.7548214181e-05
35,15,-1.3643838139e-04
35,16,-2.0053142123e-04
35,17,-2.8354089690e-04
35,18,-3.8860391398e-04
35,19,-5.1636754900e-04
35,20,-6.6176781366e-04
35,21,-8.1027024097e-04
35,22,-9.3659020949e-04
35,23,-1.0104995027e-03
35,24,-1.0104995027e-03
35,25,-9.3659020949e-04
35,26,-8.1027024097e-04
35,27,-6.6176781366e-04
35,28,-5.1636754900e-04
35,29,-3.8860391398e-04
35,30,-2.8354089690e-04
35,31,-2.0053142123e-04
35,32,-1.3643838139e-04
35,33,-8.7548214181e-05
35,34,-5.0452242121e-05
35,35,-2.2337840895e-05
35,36,-1.0048427966e-06
35,37,1.5220229309e-05
35,38,2.7592028130e-05
35,39,3.7044865140e-05
35,40,4.4272684138e-05
35,41,4.9790456238e-05
35,42,5.3979915504e-05
35,43,5.7123034509e-05
35,44,5.9426223569e-05
35,45,6.1037600431e-05
35,46,6.2059069709e-05
35,47,6.2554445185e-05
36,0,7.6041023208e-05
36,1,7.5613478039e-05
36,2,7.4729464259e-05
36,3,7.3328870822e-05
36,4,7.1315641708e-05
36,5,6.8550042517e-05
36,6,6.4837164247e-05
36,7,5.9910498381e-05
36,8,5.3408944560e-05
36,9,4.4845051224e-05
36,10,3.3561715952e-05
36,11,1.8674235864e-05
36,12,-1.0048427966e-06
36,13,-2.7057621162e-05
36,14,-6.1560199402e-05
36,15,-1.0715875208e-04
36,16,-1.6704566016e-04
36,17,-2.4467291079e-04
36,18,-3.4291002649e-04
36,19,-4.6224590242e-04
36,20,-5.9780727892e-04
36,21,-7.3594604232e-04
36,22,-8.5318573554e-04
36,23,-9.2166746412e-04
36,24,-9.2166746412e-04
36,25,-8.5318573554e-04
36,26,-7.3594604232e-04
36,27,-5.9780727892e-04
36,28,-4.6224590242e-04
36,29,-3.4291002649e-04
36,30,-2.4467291079e-04
36,31,-1.6704566016e-04
36,32,-1.0715875208e-04
36,33,-6.1560199402e-05
36,34,-2.7057621162e-05
36,35,-1.0048427966e-06
36,36,1.8674235864e-05
36,37,3.3561715952e-05
36,38,4.4845051224e-05
36,39,5.3408944560e-05
36,40,5.9910498381e-05
36,41,6.4837164247e-05
36,42,6.8550042517e-05
36,43,7.1315641708e-05
36,44,7.3328870822e-05
36,45,7.4729464259e-05
36,46,7.5613478039e-05
36,47,7.6041023208e-05
37,0,8.5991667097e-05
37,1,8.5617343977e-05
37,2,8.4841255985e-05
37,3,8.3606350887e-05
37,4,8.1821409649e-05
37,5,7.9353641480e-05
37,6,7.6017679981e-05
37,7,7.1559870837e-05
37,8,6.5636296087e-05
37,9,5.7782457136e-05
37,10,4.7372015585e-05
37,11,3.3561715952e-05
37,12,1.5220229309e-05
37,13,-9.1583408567e-06
37,14,-4.1546928698e-05
37,15,-8.4453957359e-05
37,16,-1.4089408711e-04
37,17,-2.1410672310e-04
37,18,-3.0674807835e-04
37,19,-4.1918903593e-04
37,20,-5.4672760368e-04
37,21,-6.7644974285e-04
37,22,-7.8634412045e-04
37,23,-8.5044800816e-04
37,24,-8.5044800816e-04
37,25,-7.8634412045e-04
37,26,-6.7644974285e-04
37,27,-5.4672760368e-04
37,28,-4.1918903593e-04
37,29,-3.0674807835e-04
37,30,-2.1410672310e-04
37,31,-1.4089408711e-04
37,32,-8.4453957359e-05
37,33,-4.1546928698e-05
37,34,-9.1583408567e-06
37,35,1.5220229309e-05
37,36,3.3561715952e-05
37,37,4.7372015585e-05
37,38,5.7782457136e-05
37,39,6.5636296087e-05
37,40,7.1559870837e-05
37,41,7.6017679981e-05
37,42,7.9353641480e-05
37,43,8.1821409649e-05
37,44,8.3606350887e-05
37,45,8.4841255985e-05
37,46,8.5617343977e-05
37,47,8.5991667097e-05
38,0,9.3314704982e-05
38,1,9.2982380509e-05
38,2,9.2291519935e-05
38,3,9.1187612179e-05
38,4,8.9583460814e-05
38,5,8.7352057502e-05
38,6,8.4315995261e-05
38,7,8.0232359367e-05
38,8,7.4771611019e-05
38,9,6.7488487106e-05
38,10,5.7782457136e-05
38,11,4.4845051224e-05
38,12,2.7592028130e-05
38,13,4.5813387973e-06
38,14,-2.6073741007e-05
38,15,-6.6767009379e-05
38,16,-1.2036618032e-04
38,17,-1.8993658140e-04
38,18,-2.7796273168e-04
38,19,-3.8472634929e-04
38,20,-5.0567706142e-04
38,21,-6.2851137349e-04
38,22,-7.3241452130e-04
38,23,-7.9295627025e-04
38,24,-7.9295627025e-04
38,25,-7.3241452130e-04
38,26,-6.2851137349e-04
38,27,-5.0567706142e-04
38,28,-3.8472634929e-04
38,29,-2.7796273168e-04
38,30,-1.8993658140e-04
38,31,-1.2036618032e-04
38,32,-6.6767009379e-05
38,33,-2.6073741007e-05
38,34,4.5813387973e-06
38,35,2.7592028130e-05
38,36,4.4845051224e-05
38,37,5.7782457136e-05
38,38,6.7488487106e-05
38,39,7.4771611019e-05
38,40,8.0232359367e-05
38,41,8.4315995261e-05
38,42,8.7352057502e-05
38,43,8.9583460814e-05
38,44,9.1187612179e-05
38,45,9.2291519935e-05
38,46,9.2982380509e-05
38,47,9.3314704982e-05
39,0,9.8688511564e-05
39,1,9.8389468307e-05
39,2,9.7766193959e-05
39,3,9.6766293617e-05
39,4,9.5305923895e-05
39,5,9.3262902289e-05
39,6,9.0466473822e-05
39,7,8.6682712568e-05
39,8,8.1594131898e-05
39,9,7.4771611019e-05
39,10,6.5636296087e-05
39,11,5.3408944560e-05
39,12,3.7044865140e-05
39,13,1.5155569482e-05
39,14,-1.4073515095e-05
39,15,-5.2940609926e-05
39,16,-1.0419158224e-04
39,17,-1.7074863263e-04
39,18,-2.5495724139e-04
39,19,-3.5703110305e-04
39,20,-4.7255247207e-04
39,21,-5.8972636633e-04
39,22,-6.8871959783e-04
39,23,-7.4634805519e-04
39,24,-7.4634805519e-04
39,25,-6.8871959783e-04
